#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
                92 6.327854651981e-19 9.754036401322e-01 1.157619310794e-01 -4.235324566752e-08 7.982903163019e-20 5.529564335679e-19 
                93 6.327659834004e-19 9.753832385467e-01 1.157606052300e-01 -3.879822607789e-08 7.984291883174e-20 5.529230645687e-19 
                94 6.327501518934e-19 9.753793421012e-01 1.157603888679e-01 -3.121015830715e-08 7.983076928275e-20 5.529193826106e-19 
                95 6.327438712338e-19 9.753754810307e-01 1.157601779313e-01 -2.586138312665e-08 7.982854919123e-20 5.529153220426e-19 
                96 6.327392054768e-19 9.753722189403e-01 1.157600036288e-01 -2.253278813409e-08 7.982753946086e-20 5.529116660160e-19 
                97 6.325790610385e-19 9.752471893983e-01 1.157533575739e-01 7.851013368962e-08 7.981029306427e-20 5.527687679742e-19 
                98 6.325554404451e-19 9.752348544829e-01 1.157532639657e-01 1.610563025090e-08 7.981301790926e-20 5.527424225359e-19 
                99 6.325515078760e-19 9.752201394843e-01 1.157532968527e-01 1.237369336241e-08 7.982672484374e-20 5.527247830323e-19 
               100 6.325302555249e-19 9.752168007789e-01 1.157533222747e-01 1.008707589100e-08 7.981115856346e-20 5.527190969615e-19 
               101 6.325255382590e-19 9.752132571357e-01 1.157533540650e-01 8.254723592281e-09 7.981207350412e-20 5.527134647549e-19 
               102 6.325205866573e-19 9.752094084268e-01 1.157533947640e-01 6.724384605405e-09 7.981310876802e-20 5.527074778893e-19 
               103 6.319018103978e-19 9.746063849666e-01 1.157577872720e-01 -1.765333310016e-07 8.008920911668e-20 5.518126012811e-19 
               104 6.318525031980e-19 9.745929100087e-01 1.157612732033e-01 -5.715903065921e-08 8.005263443967e-20 5.517998687583e-19 
               105 6.318455721192e-19 9.745847363635e-01 1.157633009857e-01 -5.328037925541e-08 8.007695262408e-20 5.517686194952e-19 
               106 6.317927148198e-19 9.745811652716e-01 1.157642073266e-01 -4.644762279460e-08 8.003352277703e-20 5.517591920428e-19 
               107 6.317884827707e-19 9.745778454907e-01 1.157650483712e-01 -4.080289869274e-08 8.003752642940e-20 5.517509563413e-19 
               108 6.317850743381e-19 9.745745293872e-01 1.157658905700e-01 -3.575252441027e-08 8.004226294412e-20 5.517428113940e-19 
               109 6.315578195333e-19 9.742645716224e-01 1.158435996580e-01 3.829934951102e-07 8.055385717626e-20 5.510039623571e-19 
               110 6.315768959558e-19 9.742425304063e-01 1.158506526441e-01 1.032805954697e-07 8.059472020845e-20 5.509821757473e-19 
               111 6.315258733987e-19 9.742326321711e-01 1.158539818450e-01 5.398814877321e-08 8.056764750152e-20 5.509582258972e-19 
               112 6.314702455764e-19 9.742270936671e-01 1.158559021229e-01 3.876503735854e-08 8.052561008686e-20 5.509446354895e-19 
               113 6.314636590332e-19 9.742216735637e-01 1.158577871566e-01 2.744252307396e-08 8.053046127240e-20 5.509331977608e-19 
               114 6.314596523635e-19 9.742184036647e-01 1.158589331317e-01 2.210982151412e-08 8.053349171031e-20 5.509261606532e-19 
               115 6.314502545779e-19 9.742087027176e-01 1.158623465153e-01 8.430639111934e-09 8.054498686383e-20 5.509052677140e-19 
               116 6.314326547733e-19 9.741891851118e-01 1.158692967691e-01 -7.826094053092e-09 8.056971491271e-20 5.508629398605e-19 
               117 6.326359702841e-19 9.739039453511e-01 1.159719897267e-01 -2.958156376242e-08 8.237528850259e-20 5.502606817815e-19 
               118 6.312095536661e-19 9.739010288227e-01 1.159735165170e-01 -1.969907695230e-08 8.097016274590e-20 5.502393909202e-19 
               119 6.312028628376e-19 9.738979507429e-01 1.159749511840e-01 -1.141273422501e-08 8.097056813232e-20 5.502322947053e-19 
               120 6.311977103011e-19 9.738940612803e-01 1.159767614492e-01 -2.480534497311e-09 8.097434987355e-20 5.502233604276e-19 
               121 6.311563591656e-19 9.738512141869e-01 1.159966455382e-01 7.709096487840e-08 8.102945887390e-20 5.501269002917e-19 
