#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
                68 7.210309362672e-18 -2.467385883216e-16 -3.850645038176e-16 8.194088381068e-03 5.991151711702e-18 1.219157650970e-18 
                69 7.210128738918e-18 -5.077453297347e-16 -3.633738024736e-16 8.315968749927e-03 5.991698610106e-18 1.218430128811e-18 
                70 7.210285969307e-18 3.675226139754e-17 -3.512259383801e-16 8.363010404163e-03 5.992227113365e-18 1.218058855942e-18 
                71 7.210484297443e-18 -8.502091046764e-16 -3.568425747152e-16 8.371160095373e-03 5.992500137421e-18 1.217984160022e-18 
                72 7.210053296301e-18 -4.013559105233e-16 -3.572724282934e-16 8.374450289962e-03 5.992102493212e-18 1.217950803089e-18 
                73 7.210048931625e-18 -3.046858363647e-16 -3.572465229194e-16 8.377703876074e-03 5.992129657630e-18 1.217919273995e-18 
                74 7.210044910624e-18 -2.787558742471e-16 -3.463465075176e-16 8.381054778524e-03 5.992158495474e-18 1.217886415150e-18 
                75 7.209854483056e-18 -1.765710289526e-16 -2.879061792209e-16 8.666964014011e-03 5.994762999101e-18 1.215091483955e-18 
                76 7.211586795814e-18 -1.389300815058e-16 -2.166817684089e-16 8.626281365510e-03 5.998577195217e-18 1.213009600597e-18 
                77 7.210231050567e-18 1.819593467376e-16 -2.193438748895e-16 8.626045296650e-03 5.997250792668e-18 1.212980257900e-18 
                78 7.209856667137e-18 -2.180969043461e-17 -2.188218157430e-16 8.625887006615e-03 5.996894846784e-18 1.212961820353e-18 
                79 7.209841370621e-18 -2.062770286314e-16 -2.087073039687e-16 8.625748406802e-03 5.996894482869e-18 1.212946887751e-18 
                80 7.209840967006e-18 -2.472233261666e-16 -2.174694674072e-16 8.625624161659e-03 5.996907295465e-18 1.212933671541e-18 
                81 7.209840800929e-18 -2.080544007300e-16 -2.120609522120e-16 8.625461445391e-03 5.996924325332e-18 1.212916475597e-18 
                82 7.209840547820e-18 -2.710035813192e-16 -2.031916546846e-16 8.625161248692e-03 5.996955529681e-18 1.212885018139e-18 
                83 7.209839158330e-18 -1.946749336877e-16 -1.948084122247e-16 8.622277591932e-03 5.997251530282e-18 1.212587628048e-18 
                84 7.209840114916e-18 -3.129158419515e-16 -1.711405600507e-16 8.620884618492e-03 5.997370832610e-18 1.212469282306e-18 
                85 7.209845427114e-18 -9.674735120639e-17 -1.675181984368e-16 8.620565686131e-03 5.997401677312e-18 1.212443749802e-18 
                86 7.209838721048e-18 -6.771576939900e-17 -1.729618395628e-16 8.620475212305e-03 5.997402270301e-18 1.212436450747e-18 
                87 7.209838619070e-18 -1.263268975343e-16 -1.729135414079e-16 8.620388848272e-03 5.997409088780e-18 1.212429530290e-18 
                88 7.209838584482e-18 -2.237030029020e-16 -1.666971298044e-16 8.620283768862e-03 5.997417464013e-18 1.212421120469e-18 
                89 7.209838510839e-18 -1.601075051860e-16 -1.599529510905e-16 8.619935226204e-03 5.997445245797e-18 1.212393265041e-18 
                90 7.209838466164e-18 -2.544803434702e-16 -1.530010903107e-16 8.619710042905e-03 5.997463111155e-18 1.212375355009e-18 
                91 7.209838291452e-18 -2.296603607659e-16 -1.427574907408e-16 8.618495187746e-03 5.997559220444e-18 1.212279071008e-18 
                92 7.209838238670e-18 -1.168323584386e-16 -1.416009694691e-16 8.618354379378e-03 5.997570084181e-18 1.212268154489e-18 
                93 7.209838215002e-18 -1.710562578168e-16 -1.222312140028e-16 8.618235463647e-03 5.997579263800e-18 1.212258951202e-18 
                94 7.209838200758e-18 -2.546524605311e-16 -1.342139862216e-16 8.618163681088e-03 5.997584794894e-18 1.212253405864e-18 
                95 7.209838173767e-18 -9.391971377687e-17 -1.357586490286e-16 8.617986523269e-03 5.997598440445e-18 1.212239733322e-18 
                96 7.209838136857e-18 -1.336260659548e-16 -1.314052289799e-16 8.617735709144e-03 5.997617715354e-18 1.212220421503e-18 
                97 7.209838872153e-18 -1.611366949585e-16 -6.796033369221e-17 8.613673793327e-03 5.997930152898e-18 1.211908719255e-18 
                98 7.209837710953e-18 -5.775054283064e-17 -6.633751568918e-17 8.613637455468e-03 5.997931545112e-18 1.211906165841e-18 
                99 7.209837689553e-18 -9.914645228012e-17 -6.829929892444e-17 8.613605356038e-03 5.997933777901e-18 1.211903911652e-18 
               100 7.209837686981e-18 -4.945731056842e-17 -6.317223024984e-17 8.613573438141e-03 5.997936020619e-18 1.211901666362e-18 
               101 7.209837626408e-18 1.960026938720e-17 -2.312559561726e-17 8.612599244677e-03 5.998004604362e-18 1.211833022046e-18 
               102 7.209837638874e-18 -6.492325790029e-17 -2.581053395289e-17 8.612448248657e-03 5.998015977525e-18 1.211821661349e-18 
               103 7.209837617443e-18 -1.409427973407e-16 -2.747111233153e-17 8.612395524905e-03 5.998019913395e-18 1.211817704048e-18 
               104 7.209837608278e-18 2.310934987426e-17 -2.075196084335e-17 8.612361764804e-03 5.998022435300e-18 1.211815172979e-18 
               105 7.209837606268e-18 -1.340791904621e-16 -1.552785678491e-17 8.612324705770e-03 5.998025213689e-18 1.211812392579e-18 
               106 7.209837603887e-18 -1.653482940616e-16 -1.466683240614e-17 8.612279739572e-03 5.998028586906e-18 1.211809016981e-18 
               107 7.209837533576e-18 -2.511644556026e-16 9.926105062936e-17 8.609764751439e-03 5.998217393086e-18 1.211620140490e-18 
               108 7.209838325028e-18 -2.374934433346e-16 1.147458781490e-16 8.609717103447e-03 5.998222887162e-18 1.211615437866e-18 
               109 7.209837552063e-18 1.298254402421e-17 1.216160711397e-16 8.609714638596e-03 5.998222345768e-18 1.211615206295e-18 
               110 7.209837531042e-18 3.619727169088e-17 1.296142455832e-16 8.609712441190e-03 5.998222535920e-18 1.211614995122e-18 
               111 7.209837530330e-18 9.275002028118e-17 1.287589291681e-16 8.609710210686e-03 5.998222748825e-18 1.211614781505e-18 
               112 7.209837529952e-18 5.165268124351e-17 1.348769881655e-16 8.609707267144e-03 5.998223028033e-18 1.211614501919e-18 
               113 7.209837529237e-18 1.048860293731e-16 1.371430497763e-16 8.609695373675e-03 5.998224143514e-18 1.211613385723e-18 
               114 7.209837529135e-18 3.780287798781e-16 1.496816898500e-16 8.609680330349e-03 5.998225488827e-18 1.211612040308e-18 
               115 7.209837529135e-18 3.780287798781e-16 1.496816898500e-16 8.609680330349e-03 5.998225488827e-18 1.211612040308e-18 
